rank,planet,habitability_score,esi,hz_score,star_score,atmosphere,radius_earth,insolation_earth,eq_temp_k,star_teff_k,distance_ly
1,TOI-700 d,0.927,0.942,0.992,0.78,,1.073,0.85,268.8,3459.0,101.5
2,Kepler-283 c,0.921,0.831,0.992,1.0,,1.82,0.949,240.0,4351.0,1526.7
3,GJ 3378 b,0.914,0.906,1.0,0.78,,1.32,0.91,272.0,3340.0,25.2
4,Kepler-1544 b,0.909,0.809,0.985,1.0,,1.78,0.833,269.0,4886.0,1092.9
5,LP 890-9 c,0.909,0.896,1.0,0.78,,1.367,0.906,272.0,2850.0,105.8
6,Teegarden's Star b,0.906,0.969,0.898,0.78,,1.05,1.08,277.0,3034.0,12.5
7,K2-18 b,0.9,0.769,0.964,0.78,detected,2.37,1.005,284.0,3457.0,124.0
8,Kepler-1410 b,0.898,0.836,0.919,1.0,,1.78,1.06,290.0,4092.0,1197.0
9,Kepler-1653 b,0.898,0.79,0.979,1.0,,2.17,0.98,284.0,4807.0,2462.5
10,Kepler-22 b,0.896,0.801,0.959,1.0,,2.1,1.013,279.0,5596.0,634.8
11,Kepler-1649 c,0.891,0.912,0.928,0.78,,1.06,0.75,234.0,3240.0,300.7
12,Kepler-452 b,0.89,0.851,0.876,1.0,,1.63,1.1,265.0,5757.0,1799.5
13,Kepler-1652 b,0.884,0.83,0.974,0.85,,1.6,0.81,268.0,3638.0,821.9
14,Kepler-443 b,0.884,0.745,0.995,1.0,,2.33,0.86,233.0,4723.0,2616.7
15,GJ 667 C c,0.875,0.822,0.998,0.78,,1.77,0.8774,,3350.0,23.6
16,GJ 273 b,0.873,0.88,0.919,0.78,,1.51,1.06,292.47,3382.0,19.3
17,Kepler-1540 b,0.873,0.725,0.991,1.0,,2.49,0.849,266.0,4540.0,799.0
18,TOI-2094 b,0.87,0.826,0.979,0.78,,1.9,0.98,276.0,3435.0,163.2
19,Kepler-442 b,0.86,0.824,0.827,1.0,,1.34,0.66,241.0,4402.0,1193.6
20,L 98-59 f,0.857,0.876,0.876,0.78,,1.48,1.1,285.0,3415.0,34.6
21,TRAPPIST-1 d,0.851,0.913,0.858,0.7,,0.788,1.115,286.2,2566.0,40.5
22,GJ 1002 b,0.85,0.889,0.84,0.78,,1.03,0.67,230.9,3024.0,15.8
23,GJ 887 d,0.84,0.732,0.974,0.85,,2.34,0.81,241.0,3688.0,10.7
24,TOI-7166 b,0.835,0.801,0.909,0.78,,2.01,1.07,249.0,3099.0,115.5
25,Wolf 1069 b,0.834,0.871,0.816,0.78,,1.08,0.652,250.1,3158.0,31.3
26,Proxima Cen b,0.832,0.879,0.801,0.78,,1.02,0.641,218.0,2900.0,4.2
27,Kepler-440 b,0.819,0.797,0.743,1.0,,1.86,1.2,229.0,4134.0,981.8
28,Kepler-705 b,0.819,0.736,0.908,0.85,,2.11,0.729,265.0,3722.0,903.1
29,K2-72 e,0.817,0.891,0.743,0.78,,1.29,1.2,286.34,3360.47,216.7
30,GJ 180 c,0.813,0.717,0.954,0.78,,2.41,0.7812,290.87,3371.0,38.9
31,TRAPPIST-1 e,0.813,0.867,0.808,0.7,observed,0.92,0.646,249.7,2566.0,40.5
32,TOI-715 b,0.807,0.793,0.84,0.78,,1.55,0.67,234.0,3075.0,138.3
33,TOI-700 e,0.796,0.927,0.636,0.78,,0.953,1.27,272.9,3459.0,101.5
34,GJ 1061 d,0.791,0.833,0.743,0.78,,1.16,0.6,242.03,2953.0,12.0
35,Kepler-296 f,0.773,0.739,0.772,0.85,,1.8,0.62,274.0,3740.0,544.7
36,TOI-2257 b,0.769,0.709,0.84,0.78,,2.194,0.6703,256.0,3430.0,188.5
37,TOI-178 f,0.763,0.665,0.753,1.0,,2.417,0.6071,521.0,4316.0,204.5
38,GJ 3998 d,0.762,0.738,0.743,0.85,,2.34,1.2,292.23,3726.0,59.2
39,Kepler-1606 b,0.751,0.754,0.605,1.0,,2.07,1.29,324.0,5422.0,2711.3
40,GJ 433 d,0.748,0.702,0.788,0.78,,2.14,0.6312,279.71,3461.0,29.6
41,Kepler-155 c,0.748,0.736,0.62,1.0,,2.24,1.28,286.0,4508.0,957.3
42,Ross 508 b,0.748,0.793,0.673,0.78,,1.83,1.2464,293.86,3071.0,36.6
43,GJ 667 C f,0.742,0.767,0.687,0.78,,1.45,0.5633,,3350.0,23.6
44,Kepler-62 e,0.741,0.807,0.509,1.0,,1.61,1.352,270.0,4925.0,981.3
45,Kepler-62 f,0.741,0.744,0.589,1.0,,1.41,0.5,208.0,4925.0,981.3
46,Kepler-1701 b,0.737,0.735,0.589,1.0,,2.22186207,1.3,273.0,5146.0,1905.2
47,TOI-1266 d,0.735,0.797,0.589,0.85,,1.74,1.3,288.0,3563.0,117.5
48,Kepler-1229 b,0.73,0.757,0.627,0.85,,1.4,0.524,212.0,3784.0,865.9
49,Wolf 1061 c,0.726,0.809,0.589,0.78,,1.66,1.3,299.3,3342.0,14.0
50,Kepler-438 b,0.722,0.887,0.438,0.85,,1.12,1.4,288.0,3748.0,639.1
51,Ross 128 b,0.721,0.892,0.467,0.78,,1.11,1.38,301.0,3192.0,11.0
52,Kepler-174 d,0.719,0.659,0.636,1.0,,2.19,0.53,212.0,4880.0,1254.9
53,Kepler-235 e,0.719,0.73,0.543,1.0,,2.22,1.33,306.0,4255.0,1396.0
54,GJ 1061 c,0.702,0.872,0.438,0.78,,1.19,1.4,304.12,2953.0,12.0
55,TOI-904 c,0.701,0.667,0.659,0.85,,2.167,0.5449,217.26,3770.2,150.3
56,Kepler-296 e,0.683,0.81,0.423,0.85,,1.53,1.41,337.0,3740.0,544.7
57,K2-3 d,0.671,0.817,0.381,0.85,,1.458,1.44,305.2,3844.0,143.7
58,HN Lib b,0.655,0.647,0.594,0.78,,2.2,0.503,234.4,3347.0,20.4
59,K2-9 b,0.655,0.722,0.497,0.78,,2.25,1.36,314.0,3390.0,270.6
60,LHS 1140 b,0.653,0.664,0.482,0.78,tentative,1.73,0.43,226.0,3096.0,48.9
61,Kepler-1512 b,0.647,0.84,0.198,1.0,,1.18,1.6,322.0,4372.0,528.4
62,55 Cnc B c,0.626,0.632,0.529,0.78,,2.16,0.4613,230.04,3286.0,40.7
63,K2-288 B b,0.62,0.648,0.492,0.78,,1.9,0.4368,226.36,3341.0,214.0
64,Kepler-1455 b,0.611,0.707,0.266,1.0,,2.16,1.533,298.0,4075.0,1166.4
65,TRAPPIST-1 f,0.608,0.729,0.399,0.7,,1.045,0.373,217.7,2566.0,40.5
66,Teegarden's Star c,0.607,0.717,0.368,0.78,,1.02,0.35,209.0,3034.0,12.5
67,Gliese 12 b,0.605,0.858,0.18,0.78,,0.93,1.62,314.6,3328.0,39.8
68,GJ 251 c,0.6,0.641,0.443,0.78,,1.8,0.404,216.0,3342.0,18.2
